transaction_id,date,location_id,product_id,quantity,unit_price_sold,gross_sales_amt,discount_amount,is_returned,return_reason
ca865d6d7c6d,1/28/2019,S003,P126,1,89.92,89.92,7.65,FALSE,
ebd9457d3fdf,1/11/2019,S017,P048,4,68.61,274.44,0,FALSE,
c1ed9f9d24ee,1/4/2019,L001_WEB,P017,1,88.89,88.89,11.32,FALSE,
8fe3e461e235,1/5/2019,S005,P145,3,24.76,74.28,6,FALSE,
8bf8a1d79531,1/14/2019,S009,P058,2,58.55,117.1,0,FALSE,
0b919c1d937b,1/10/2019,L001_WEB,P110,1,89.15,89.15,0,FALSE,
77eda544e1d0,1/24/2019,S009,P026,3,58.83,176.49,0,FALSE,
e968a91ddf3e,1/22/2019,L001_WEB,P021,1,32.94,32.94,0,FALSE,
c987e4f48f70,1/1/2019,L001_WEB,P105,1,73.63,73.63,0,FALSE,
04252dd94ae2,1/8/2019,S023,P074,2,112.25,224.5,0,FALSE,
22608d3d0eeb,1/22/2019,S024,P060,3,120.43,361.29,0,FALSE,
bb3c79dd2874,1/22/2019,S018,P051,1,61.08,61.08,0,FALSE,
4fa07b26cbc6,1/30/2019,L001_WEB,P069,2,83.69,167.38,11.94,FALSE,
75cb1f612ab7,1/24/2019,L001_WEB,P146,3,124.99,374.97,0,FALSE,
3535d83caa5f,1/10/2019,S012,P104,3,38.34,115.02,0,FALSE,
fd9565051e41,1/3/2019,S002,P011,2,28.81,57.62,0,FALSE,
ac2e05bee8e9,1/1/2019,L001_WEB,P024,1,27.73,27.73,0,FALSE,
c6ae7f63e95c,1/19/2019,S004,P006,5,46.3,231.5,0,FALSE,
fa73db6e43b7,1/2/2019,L001_WEB,P045,1,114.88,114.88,0,FALSE,
495ccc8a073d,1/6/2019,S022,P150,1,119.41,119.41,0,FALSE,
ad9f7860469c,1/16/2019,L001_WEB,P090,1,110.51,110.51,0,FALSE,
1865912d7836,1/6/2019,S011,P085,1,17.39,17.39,8.66,FALSE,
5b1d6c354d78,1/25/2019,L001_WEB,P141,1,80.24,80.24,6.53,FALSE,
2712653f7daf,1/25/2019,S006,P104,2,38.34,76.68,0,TRUE,Gift Return
9abe31214326,1/15/2019,S007,P106,1,25.49,25.49,0,FALSE,
229bcf80b53f,1/16/2019,L001_WEB,P114,2,102.93,205.86,0,FALSE,
0064b1bdb7a2,1/30/2019,S024,P074,1,112.25,112.25,0,FALSE,
9b91736d89c7,1/21/2019,S016,P062,2,76.01,152.02,0,TRUE,Wrong Shade
70e879910183,1/3/2019,S023,P058,5,58.55,292.75,0,FALSE,
e017a3c65bcc,1/4/2019,S021,P040,1,98.81,98.81,0,FALSE,
a1719abbe1b0,1/9/2019,S009,P107,2,88.98,177.96,0,FALSE,
2b273502f9a6,1/18/2019,S022,P038,1,31.46,31.46,0,FALSE,
bd8ffff78e7c,1/29/2019,L001_WEB,P035,2,104.32,208.64,0,FALSE,
8029448ec21a,1/14/2019,L001_WEB,P088,3,40.48,121.44,0,FALSE,
a18bef22d35b,1/10/2019,L001_WEB,P077,2,117.7,235.4,0,FALSE,
eb6cddaece1f,1/28/2019,L001_WEB,P039,1,74.46,74.46,0,FALSE,
b108d49fec87,1/25/2019,L001_WEB,P140,1,20.89,20.89,0,FALSE,
9dcaaa1705d2,1/23/2019,L001_WEB,P062,1,76.01,76.01,0,FALSE,
e897e80acc43,1/2/2019,S018,P082,2,63.32,126.64,0,FALSE,
a1050a472e84,1/13/2019,L001_WEB,P039,1,67,67,7.46,FALSE,
00bac79d1295,1/28/2019,L001_WEB,P026,2,58.83,117.66,0,FALSE,
6a3e60af6855,1/15/2019,S006,P004,2,80.57,161.14,79.7,FALSE,
2e31a9796e75,1/16/2019,L001_WEB,P068,1,80.45,80.45,0,FALSE,
9e9dfcaf5dc4,1/28/2019,S017,P085,2,26.05,52.1,0,FALSE,
082ebf94bb03,1/11/2019,L001_WEB,P125,2,99.23,198.46,11.96,FALSE,
3e7fc0dad8e5,1/30/2019,S025,P074,5,112.25,561.25,0,FALSE,
03628c4ddfda,1/4/2019,S016,P026,1,58.83,58.83,0,FALSE,
03b937df5ac1,1/2/2019,L001_WEB,P084,2,97.31,194.62,0,FALSE,
145772e1d9ef,1/5/2019,L001_WEB,P063,1,80.51,80.51,0,FALSE,
51f668be4b82,1/6/2019,S018,P045,1,114.88,114.88,0,FALSE,
73227f5bfcf2,1/8/2019,S013,P128,3,85.06,255.18,0,FALSE,
6adb3bca8c08,1/9/2019,S014,P118,1,38.43,38.43,5.77,FALSE,
ead6ad3ecd54,1/22/2019,S016,P140,1,20.89,20.89,0,FALSE,
c960bec7cf23,1/19/2019,L001_WEB,P077,1,117.7,117.7,0,FALSE,
ee8a6e31f39b,1/28/2019,L001_WEB,P078,1,30.35,30.35,0,FALSE,
e8853a0e8324,1/8/2019,L001_WEB,P098,1,110.49,110.49,0,FALSE,
00a87926c6ce,1/10/2019,S020,P006,4,46.3,185.2,0,FALSE,
5dfcd2c46a39,1/19/2019,S010,P013,3,40.42,121.26,0,FALSE,
04c92aa617d9,1/29/2019,L001_WEB,P074,2,112.25,224.5,0,FALSE,
b4b4ce4a973b,1/8/2019,L001_WEB,P049,1,28.37,28.37,0,FALSE,
e24de5f2400e,1/22/2019,L001_WEB,P036,1,111.95,111.95,0,FALSE,
881f4fd97ff0,1/10/2019,L001_WEB,P113,1,65.27,65.27,0,FALSE,
7efb6dad06bc,1/30/2019,S014,P076,1,87.98,87.98,0,FALSE,
8b7aa7557b1f,1/26/2019,S010,P139,2,68.01,136.02,0,FALSE,
4bd4fe2bf55c,1/9/2019,S021,P043,1,54.18,54.18,0,FALSE,
eb3beefe7ee1,1/26/2019,S004,P076,2,87.98,175.96,0,FALSE,
7de7cc15e80f,1/31/2019,L001_WEB,P020,1,71.42,71.42,0,FALSE,
87d809f6d87e,1/24/2019,S014,P102,4,81.83,327.32,0,FALSE,
2b7ea7d84b94,1/26/2019,S016,P102,1,81.83,81.83,0,FALSE,
4a4723d2482d,1/22/2019,S007,P068,1,80.45,80.45,0,FALSE,
779d9a87f19f,1/4/2019,S016,P060,1,120.43,120.43,0,FALSE,
f5fbb27774cc,1/11/2019,S004,P057,1,69.51,69.51,0,FALSE,
0067d53b6681,1/23/2019,S006,P078,1,24,24,6.35,FALSE,
7f3f8287260e,1/16/2019,S002,P030,1,18.35,18.35,0,FALSE,
fceb3b6c21a3,1/15/2019,L001_WEB,P095,1,105.37,105.37,0,FALSE,
9a1555331def,1/14/2019,L001_WEB,P040,2,98.81,197.62,0,FALSE,
28ad0b5f0e49,1/20/2019,L001_WEB,P105,3,73.63,220.89,0,FALSE,
deba708225c8,1/7/2019,S010,P114,1,102.93,102.93,0,FALSE,
9a81400c9479,1/22/2019,L001_WEB,P095,1,105.37,105.37,0,FALSE,
d37d41cd5afc,1/13/2019,S005,P071,1,117.4,117.4,0,FALSE,
026be775e31b,1/15/2019,S022,P024,1,27.73,27.73,0,FALSE,
6ecd964cd9a4,1/1/2019,L001_WEB,P013,2,40.42,80.84,0,FALSE,
89a89a99a00f,1/19/2019,S001,P053,1,37.63,37.63,0,FALSE,
5f52c77e1aeb,1/7/2019,S015,P060,1,120.43,120.43,0,FALSE,
cd7dba192306,1/1/2019,L001_WEB,P071,2,117.4,234.8,0,FALSE,
1c4e80094935,1/9/2019,L001_WEB,P045,1,114.88,114.88,0,FALSE,
363ff7cd4c29,1/12/2019,L001_WEB,P061,1,45.94,45.94,3.81,FALSE,
b17638e1988f,1/14/2019,L001_WEB,P135,1,62.49,62.49,6.55,FALSE,
773e05e9a63c,1/19/2019,S023,P028,1,76.28,76.28,36.39,FALSE,
7e928a7c8018,1/30/2019,S018,P134,1,114.82,114.82,0,FALSE,
320cf1985ed6,1/16/2019,S010,P103,1,51.56,51.56,0,FALSE,
26ddb0191650,1/15/2019,S020,P019,2,19.32,38.64,11.52,FALSE,
6723e7b4b03a,1/20/2019,S017,P150,1,119.41,119.41,0,FALSE,
ffbb8ca2313d,1/17/2019,L001_WEB,P076,1,87.98,87.98,0,FALSE,
b55aa253705c,1/23/2019,S021,P030,2,18.35,36.7,0,FALSE,
224baa2f9e9c,1/24/2019,S006,P056,1,108.81,108.81,0,FALSE,
7b238856d7ff,1/27/2019,S017,P117,1,104.3,104.3,0,FALSE,
86041056c2cb,1/11/2019,S021,P066,1,73.08,73.08,45.67,FALSE,
c05965732fa0,1/27/2019,L001_WEB,P022,1,55.93,55.93,7.91,FALSE,
46f268761f39,1/18/2019,L001_WEB,P016,1,123.88,123.88,0,FALSE,
2d502ef1fbcd,1/4/2019,L001_WEB,P106,1,25.49,25.49,0,FALSE,
19398f2ca534,1/28/2019,S002,P014,4,87.34,349.36,0,FALSE,
662995068f97,1/19/2019,S018,P130,1,52.21,52.21,0,FALSE,
9fed6fe6531e,1/4/2019,S020,P090,2,71.55,143.1,77.92,FALSE,
f5f1e239abff,1/26/2019,L001_WEB,P110,2,89.15,178.3,0,FALSE,
503b6aeff1f5,1/20/2019,S005,P143,1,66.65,66.65,0,FALSE,
90d289748b26,1/9/2019,S001,P008,1,49.37,49.37,0,FALSE,
559f2b6347fd,1/11/2019,L001_WEB,P090,1,110.51,110.51,0,FALSE,
882a6b416a35,1/13/2019,L001_WEB,P018,1,21.43,21.43,0,FALSE,
04748bba878f,1/24/2019,L001_WEB,P136,1,59.73,59.73,0,FALSE,
b91b11d05e2e,1/12/2019,S023,P080,2,91.56,183.12,0,FALSE,
4dda92873a02,1/3/2019,L001_WEB,P014,1,87.34,87.34,0,FALSE,
ca3f812ebc80,1/3/2019,S005,P070,1,60.35,60.35,0,FALSE,
d540e5699108,1/14/2019,S013,P070,1,60.35,60.35,0,FALSE,
7a03830147b7,1/4/2019,L001_WEB,P073,1,40.81,40.81,0,FALSE,
cafaad0a306d,1/10/2019,S024,P012,1,107.25,107.25,0,FALSE,
313edf59bdb3,1/7/2019,S024,P078,3,30.35,91.05,0,FALSE,
bba160951144,1/10/2019,L001_WEB,P084,1,97.31,97.31,0,FALSE,
c8b3309b1544,1/5/2019,S005,P098,1,110.49,110.49,0,FALSE,
d3f8fdc633c4,1/22/2019,L001_WEB,P091,1,37.19,37.19,0,FALSE,
17b762d3befc,1/1/2019,L001_WEB,P118,3,44.2,132.6,0,FALSE,
5d6b2c7d5026,1/19/2019,L001_WEB,P104,2,38.34,76.68,0,FALSE,
262f5f144edf,1/1/2019,S009,P084,1,97.31,97.31,0,FALSE,
9d0a46ce420f,1/23/2019,S005,P093,1,102.25,102.25,0,FALSE,
2f0be436d4d3,1/19/2019,L001_WEB,P103,1,51.56,51.56,0,FALSE,
ee2718d4627a,1/11/2019,L001_WEB,P057,1,69.51,69.51,0,FALSE,
eb642357f580,1/4/2019,S022,P136,1,59.73,59.73,0,FALSE,
d2208e83d73c,1/24/2019,L001_WEB,P038,1,31.46,31.46,0,FALSE,
fcf17c37b158,1/20/2019,L001_WEB,P040,2,98.81,197.62,0,FALSE,
3fbe0b572864,1/25/2019,S004,P127,1,98.44,98.44,0,FALSE,
512b9805d59e,1/22/2019,S025,P145,1,26.76,26.76,0,FALSE,
4d29c2d03884,1/21/2019,L001_WEB,P081,1,40.64,40.64,4.23,FALSE,
2ca93dbceeda,1/9/2019,S012,P015,1,44.19,44.19,0,FALSE,
6306082297c6,1/12/2019,S016,P074,1,112.25,112.25,0,FALSE,
554ec471b8e6,1/20/2019,L001_WEB,P130,1,52.21,52.21,0,FALSE,
5f6da7e608aa,1/24/2019,S014,P011,1,28.81,28.81,0,FALSE,
99252ffcf0c1,1/11/2019,L001_WEB,P122,1,36.82,36.82,0,FALSE,
d340cb9caf95,1/26/2019,S010,P088,5,35.84,179.2,23.2,FALSE,
144a27b6f521,1/23/2019,S010,P113,5,65.27,326.35,0,FALSE,
f30b1a19d13e,1/12/2019,S006,P096,3,68.25,204.75,112.65,FALSE,
8e530654148d,1/2/2019,L001_WEB,P086,1,94.66,94.66,12.64,FALSE,
1fedad504671,1/24/2019,S019,P039,1,74.46,74.46,0,FALSE,
26272f44c7a6,1/12/2019,L001_WEB,P080,4,91.56,366.24,0,FALSE,
c778d606f2ab,1/20/2019,L001_WEB,P022,1,63.84,63.84,0,FALSE,
cd237ca2e2fd,1/27/2019,L001_WEB,P033,1,99.59,99.59,0,FALSE,
9ba1b7cd7002,1/22/2019,S008,P135,1,69.04,69.04,0,FALSE,
efc052d17eac,1/1/2019,S012,P093,1,102.25,102.25,0,FALSE,
bb3abd14c59f,1/25/2019,L001_WEB,P125,1,105.21,105.21,0,FALSE,
1b35614022cb,1/10/2019,S005,P026,1,58.83,58.83,0,FALSE,
e9cb2011ceff,1/17/2019,L001_WEB,P010,1,48.96,48.96,0,FALSE,
377dfe093242,1/20/2019,S011,P097,1,58.62,58.62,30,FALSE,
d00f6e1dd5ad,1/29/2019,L001_WEB,P043,2,49.5,99,9.36,FALSE,
187cab50a438,1/15/2019,S013,P073,2,40.81,81.62,0,FALSE,
9cf5ab310210,1/8/2019,L001_WEB,P080,4,91.56,366.24,0,FALSE,
e6b13bbc252c,1/7/2019,S023,P095,1,105.37,105.37,0,FALSE,
180f83400637,1/25/2019,L001_WEB,P073,2,40.81,81.62,0,FALSE,
f371ccf38f7f,1/6/2019,L001_WEB,P052,2,38.5,77,0,FALSE,
7d2a64a59b7e,1/21/2019,L001_WEB,P124,2,103.75,207.5,0,FALSE,
4a611406c20f,1/28/2019,S022,P133,2,62.49,124.98,0,FALSE,
b1d5571f3ee0,1/9/2019,S020,P116,3,85.4,256.2,103.38,FALSE,
82834ad2eadf,1/8/2019,L001_WEB,P116,2,119.86,239.72,0,FALSE,
96fd85ece3ab,1/13/2019,S011,P129,1,73.94,73.94,20.41,FALSE,
f3fa110ae239,1/11/2019,S018,P026,2,58.83,117.66,0,FALSE,
5d624a251f13,1/5/2019,S007,P010,1,48.96,48.96,0,FALSE,
0c92bf658c59,1/5/2019,S006,P121,1,86.31,86.31,23.76,FALSE,
efc8453ae22b,1/27/2019,L001_WEB,P039,1,74.46,74.46,0,FALSE,
d536710ca08c,1/4/2019,L001_WEB,P074,1,112.25,112.25,0,FALSE,
05a60d9494f7,1/21/2019,S021,P118,1,44.2,44.2,0,FALSE,
54c4f73c666a,1/18/2019,S021,P005,1,58.65,58.65,0,FALSE,
52698610acc7,1/10/2019,S010,P110,1,89.15,89.15,0,FALSE,
97b4df016b21,1/6/2019,L001_WEB,P022,1,63.84,63.84,0,FALSE,
a061dd147763,1/18/2019,L001_WEB,P130,2,52.21,104.42,0,TRUE,Wrong Shade
2a33347ba164,1/2/2019,S014,P100,5,111.84,559.2,0,TRUE,Changed Mind
8955c78a9624,1/12/2019,S021,P062,2,76.01,152.02,0,FALSE,
3933db2f59c0,1/24/2019,S021,P086,1,78.57,78.57,28.73,FALSE,
9d2358a1f96e,1/27/2019,S016,P119,5,62.35,311.75,0,FALSE,
03bee52a67df,1/5/2019,S011,P017,2,100.21,200.42,0,FALSE,
0731a0b6e197,1/7/2019,L001_WEB,P012,2,107.25,214.5,0,FALSE,
ae31cf9e75c5,1/10/2019,L001_WEB,P132,1,62.39,62.39,0,FALSE,
8880b2f62e6b,1/2/2019,S021,P049,1,28.37,28.37,0,FALSE,
30cc210204ec,1/21/2019,S009,P085,1,26.05,26.05,0,FALSE,
9223ef45c1cd,1/13/2019,L001_WEB,P113,2,65.27,130.54,0,FALSE,
2c850e30aa59,1/16/2019,L001_WEB,P128,1,85.06,85.06,0,FALSE,
14106ae2482b,1/3/2019,S011,P109,1,92.6,92.6,0,FALSE,
46a5c6a0caea,1/18/2019,L001_WEB,P076,1,77.77,77.77,10.21,FALSE,
2614b3c711cf,1/20/2019,L001_WEB,P110,1,89.15,89.15,0,FALSE,
4e0033bee234,1/24/2019,S007,P091,1,37.19,37.19,0,FALSE,
9a4d751329c3,1/26/2019,S013,P015,1,44.19,44.19,0,FALSE,
96f537827fbc,1/26/2019,S011,P041,4,84.46,337.84,160.08,FALSE,
a533bb8c11d2,1/2/2019,L001_WEB,P033,1,99.59,99.59,0,FALSE,
da322a535f3a,1/13/2019,S014,P146,1,124.99,124.99,0,FALSE,
91d984af2c42,1/12/2019,L001_WEB,P096,1,99.05,99.05,6.75,FALSE,
3151dd4aa17d,1/11/2019,L001_WEB,P072,1,84.46,84.46,0,FALSE,
6e8e1257230a,1/16/2019,S015,P133,1,62.49,62.49,0,FALSE,
6f733b966b72,1/9/2019,S011,P115,1,73.15,73.15,0,FALSE,
d3ff2ed8230f,1/16/2019,S019,P052,1,38.5,38.5,0,FALSE,
84a5bab6af86,1/29/2019,S011,P114,5,102.93,514.65,0,FALSE,
0122c522c776,1/11/2019,S008,P089,2,101.47,202.94,0,FALSE,
95c09378d331,1/10/2019,L001_WEB,P041,2,124.48,248.96,0,FALSE,
185875f9b9e6,1/26/2019,L001_WEB,P093,1,102.25,102.25,0,FALSE,
4607e47875d9,1/5/2019,L001_WEB,P061,2,44.51,89.02,10.48,FALSE,
4771b7056314,1/26/2019,L001_WEB,P142,1,23.38,23.38,0,FALSE,
559e1e680276,1/13/2019,S024,P123,1,44.66,44.66,0,FALSE,
8f914410c083,1/3/2019,L001_WEB,P033,4,99.59,398.36,0,FALSE,
cd8ad66793f1,1/22/2019,S021,P133,1,62.49,62.49,0,FALSE,
2d7a4c1f6390,1/21/2019,S010,P047,2,32.16,64.32,0,FALSE,
465b9750859d,1/28/2019,S017,P015,2,44.19,88.38,0,FALSE,
202be3a91053,1/6/2019,S005,P083,3,53.69,161.07,0,FALSE,
dfae5a47be66,1/17/2019,S008,P073,2,40.81,81.62,0,FALSE,
a46cb2fb4dba,1/18/2019,S004,P071,1,117.4,117.4,0,FALSE,
96b4017221a3,1/17/2019,L001_WEB,P044,1,18.77,18.77,0,FALSE,
5f9f3590ff5c,1/20/2019,S014,P087,2,22.48,44.96,0,FALSE,
085a4b8fb879,1/1/2019,L001_WEB,P021,1,32.94,32.94,0,FALSE,
90e49aca7b43,1/21/2019,L001_WEB,P054,2,116.79,233.58,0,FALSE,
98a4211bb966,1/16/2019,S011,P140,1,20.89,20.89,0,FALSE,
8f93eb465039,1/26/2019,L001_WEB,P104,1,36.19,36.19,2.15,FALSE,
bf5e6a8ba153,1/16/2019,S023,P119,1,62.35,62.35,0,FALSE,
2b3af1e007f5,1/23/2019,S024,P082,2,63.32,126.64,0,FALSE,
4abb7a173403,1/5/2019,S022,P095,1,105.37,105.37,0,FALSE,
d1c8c13fccab,1/4/2019,L001_WEB,P069,1,89.66,89.66,0,FALSE,
f38a51c742a1,1/31/2019,L001_WEB,P099,2,72.51,145.02,0,FALSE,
74a6905906d4,1/29/2019,S023,P041,2,124.48,248.96,0,FALSE,
7079e37c9419,1/7/2019,S002,P041,1,124.48,124.48,0,FALSE,
f7c3a434184c,1/10/2019,S024,P128,1,85.06,85.06,0,FALSE,
56a105551941,1/31/2019,S024,P062,1,60.04,60.04,15.97,FALSE,
ec10937ea718,1/29/2019,S019,P121,1,103.38,103.38,6.69,FALSE,
93705afe5432,1/9/2019,L001_WEB,P094,2,22.14,44.28,0,FALSE,
ac73c6f9912e,1/19/2019,L001_WEB,P144,1,98.47,98.47,0,FALSE,
3cd3f628c2c6,1/17/2019,S019,P116,2,119.86,239.72,0,FALSE,
d4590d80af9e,1/22/2019,L001_WEB,P031,1,33.88,33.88,3.24,FALSE,
3d6a2d45d11e,1/18/2019,L001_WEB,P094,2,22.14,44.28,0,FALSE,
81e1340d25c1,1/17/2019,S007,P011,1,28.81,28.81,0,FALSE,
6ffa39d8bab8,1/16/2019,S023,P133,1,62.49,62.49,0,FALSE,
eba3a29a95e9,1/11/2019,S013,P082,1,63.32,63.32,0,FALSE,
e7a07d7635a1,1/10/2019,S008,P087,1,22.48,22.48,0,FALSE,
65fd47787388,1/19/2019,L001_WEB,P077,1,107.92,107.92,9.78,FALSE,
022993dcc840,1/14/2019,S009,P150,1,119.41,119.41,0,FALSE,
eddecd1b58e1,1/21/2019,S025,P007,1,31.36,31.36,0,FALSE,
a8a0ccea9b41,1/25/2019,L001_WEB,P149,1,43.52,43.52,0,FALSE,
a40520611a4a,1/6/2019,S005,P135,1,69.04,69.04,0,FALSE,
fe61c000dbd5,1/5/2019,S020,P063,1,80.51,80.51,0,FALSE,
4c8efbc064fc,1/1/2019,S015,P113,1,65.27,65.27,0,FALSE,
8b5c5048f864,1/14/2019,S013,P129,2,94.35,188.7,0,FALSE,
bfabe5911cf6,1/24/2019,S013,P016,2,123.88,247.76,0,FALSE,
3ca24e54bbd6,1/22/2019,L001_WEB,P123,1,44.66,44.66,0,FALSE,
e6467063aeab,1/30/2019,L001_WEB,P137,1,41.48,41.48,0,FALSE,
ab3d6718c52d,1/24/2019,S018,P068,1,80.45,80.45,0,FALSE,
c8b8e9d46d10,1/18/2019,S018,P077,1,117.7,117.7,0,FALSE,
21f12cf2b058,1/10/2019,S020,P054,1,82.22,82.22,34.57,FALSE,
4066fdfc2cf3,1/30/2019,S022,P071,1,117.4,117.4,0,FALSE,
4bc4b0466cc2,1/29/2019,S005,P102,2,81.83,163.66,0,FALSE,
ada950dcce9e,1/10/2019,S005,P011,1,28.81,28.81,0,FALSE,
8894d32b0a11,1/15/2019,S017,P066,2,118.75,237.5,0,FALSE,
f2a7ccbf49ce,1/9/2019,S011,P144,1,66.65,66.65,31.82,FALSE,
8a53507a6ef7,1/8/2019,S013,P013,1,40.42,40.42,0,FALSE,
ce3bb155d4a1,1/2/2019,S017,P026,1,58.83,58.83,0,FALSE,
326a6bd5a30a,1/25/2019,S021,P036,1,111.95,111.95,0,FALSE,
2a87f0c9ee9a,1/14/2019,L001_WEB,P122,1,36.82,36.82,0,FALSE,
f97a9166aa26,1/11/2019,L001_WEB,P074,1,112.25,112.25,0,FALSE,
cce1cc8e995d,1/19/2019,L001_WEB,P060,1,120.43,120.43,0,FALSE,
c880ba2cb5ea,1/30/2019,S008,P045,1,114.88,114.88,0,FALSE,
c291b77dfc5f,1/2/2019,L001_WEB,P102,2,81.83,163.66,0,FALSE,
3cd12b023197,1/28/2019,S003,P075,2,31.15,62.3,7.46,FALSE,
c805d776ce88,1/11/2019,S006,P073,1,40.81,40.81,0,FALSE,
4ccd3b8e5f81,1/29/2019,L001_WEB,P035,2,104.32,208.64,0,FALSE,
ebd3c05eec06,1/4/2019,S008,P085,1,26.05,26.05,0,FALSE,
0208dbba315f,1/6/2019,L001_WEB,P004,2,120.42,240.84,0,FALSE,
bfaa590da5fe,1/25/2019,L001_WEB,P050,1,61.99,61.99,0,FALSE,
cd05d7300b51,1/27/2019,S018,P110,1,78.73,78.73,10.42,FALSE,
bbbcd19ce0c1,1/5/2019,L001_WEB,P123,1,44.66,44.66,0,FALSE,
4a6fe0957d06,1/8/2019,L001_WEB,P115,2,73.15,146.3,0,FALSE,
b52347e1aed4,1/24/2019,S006,P147,1,25.34,25.34,0,FALSE,
da41568186eb,1/2/2019,S016,P031,1,37.12,37.12,0,FALSE,
3921c2b498b3,1/30/2019,L001_WEB,P080,1,91.56,91.56,0,FALSE,
b41d4cd3c2e0,1/12/2019,S010,P057,1,69.51,69.51,0,FALSE,
4deb979e8f2c,1/24/2019,L001_WEB,P096,1,105.8,105.8,0,FALSE,
afa8cbb14b27,1/18/2019,L001_WEB,P056,2,108.81,217.62,0,FALSE,
9f6fe14a4695,1/26/2019,S006,P021,1,32.94,32.94,0,FALSE,
3ea432c64431,1/30/2019,S006,P145,1,26.76,26.76,0,FALSE,
0e2b48329aa9,1/7/2019,S010,P147,1,25.34,25.34,0,FALSE,
c9ddeb29efc4,1/15/2019,S014,P030,1,18.35,18.35,0,FALSE,
c685f6a19953,1/29/2019,S024,P131,1,33.06,33.06,9.68,FALSE,
f2b23c8015f3,1/10/2019,L001_WEB,P006,1,46.3,46.3,0,FALSE,
68bfcaeabd18,1/19/2019,S017,P019,1,25.08,25.08,0,FALSE,
49ccd1139620,1/2/2019,L001_WEB,P018,5,21.43,107.15,0,FALSE,
375c06a8053a,1/6/2019,S002,P035,2,104.32,208.64,0,FALSE,
aaf87baf7518,1/14/2019,L001_WEB,P096,5,105.8,529,0,FALSE,
36a3855be503,1/30/2019,L001_WEB,P097,1,88.62,88.62,0,FALSE,
48b512512784,1/18/2019,S024,P035,1,79.73,79.73,24.59,FALSE,
5784aea3c2b6,1/17/2019,S019,P033,2,99.59,199.18,0,TRUE,Changed Mind
958445462ee0,1/10/2019,S013,P119,1,62.35,62.35,0,FALSE,
c4a15cb6449f,1/27/2019,S001,P059,1,102.01,102.01,0,FALSE,
f977d709100b,1/30/2019,L001_WEB,P029,1,29.94,29.94,0,FALSE,
2139fb6fd2e9,1/30/2019,L001_WEB,P005,1,52.23,52.23,6.42,FALSE,
6eef4f7bb8b6,1/22/2019,L001_WEB,P013,1,36.62,36.62,3.8,FALSE,
605ff43b21e5,1/25/2019,S007,P015,1,44.19,44.19,0,FALSE,
cd1ebed52af3,1/30/2019,S014,P148,1,39.33,39.33,0,FALSE,
fddda2f3e82c,1/11/2019,S011,P061,1,33.23,33.23,16.52,FALSE,
354f8271d0a5,1/10/2019,L001_WEB,P071,1,117.4,117.4,0,FALSE,
452067e00c29,1/30/2019,S024,P045,1,80.52,80.52,34.36,FALSE,
f8bdb46dff9a,1/31/2019,S015,P098,2,110.49,220.98,0,FALSE,
5db5e0c9ca3b,1/5/2019,S007,P077,1,117.7,117.7,0,FALSE,
f0702fa51edf,1/28/2019,S009,P058,1,58.55,58.55,0,FALSE,
e3a0e890c301,1/18/2019,L001_WEB,P136,1,59.73,59.73,0,FALSE,
